Roane County,12,6,4,4,6,6,8,9,5,9,10,14,27,34,21,20,22,46,55,73,36,79,95,83,91,99,80,104
Summers County,19,14,6,11,6,13,7,13,10,22,43,30,2,8,8,8,6,7,19,14,13,13,15,6,1,5,57,30
Taylor County,10,14,3,8,12,2,3,12,10,20,13,12,21,8,2,3,4,1,4,11,1,8,45,8,4,12,4,3
Tucker County,3,0,0,5,6,11,10,10,3,11,16,16,14,11,5,24,11,71,47,27,10,20,29,37,26,13,40,34
Tyler County,6,12,10,17,18,21,23,28,26,12,16,27,30,27,21,18,50,21,16,23,1,14,30,21,9,19,13,30
Upshur County,45,4,7,11,2,8,13,17,12,27,32,35,51,36,50,25,20,31,44,75,27,28,49,44,28,42,16,35
Wayne County,43,51,40,38,51,31,20,33,58,72,99,48,49,49,45,47,75,76,78,79,62,112,63,53,47,53,73,136
Webster County,15,10,1,13,6,10,2,2,5,3,7,5,3,29,6,45,46,48,69,71,22,76,66,41,72,91,126,122
Wetzel County,9,8,1,1,0,0,4,17,18,18,21,21,10,15,11,3,8,8,34,43,53,80,96,50,17,10,58,61
Wirt County,1,4,5,0,4,3,5,21,8,11,9,24,2,3,0,11,7,5,3,13,0,9,26,10,6,12,30,5
Wood County,9,10,17,30,117,134,119,172,265,245,159,164,23,49,34,101,104,184,218,212,178,319,252,231,115,222,220,185
Wyoming County,36,34,25,23,11,13,17,25,15,34,30,34,18,18,17,17,33,7,36,21,19,26,11,6,27,50,30,48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arrests sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uniform Crime Reporting Program Data [United States]: County-Level Detailed Arrest and Offense Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual series reports from https://www.icpsr.umich.edu/icpsrweb/ICPSR/series/57?q=county,,,,,,,,,,,,,,,,,,,,,,,,,,,,
